,alpha,beta,gamma,tau,scf_bs,nn_scf_bs
249,40,0.3,32,0.6,7.095545091,6.8185825
250,4,0.4,32,0.6,7.901794882,7.8210883
251,13,0.4,32,0.6,8.914059415,8.903638
252,22,0.4,32,0.6,8.916161309,8.894681
253,31,0.4,32,0.6,8.915568063,8.866272
254,40,0.4,32,0.6,8.91621078,8.914279
255,4,0.5,32,0.6,8.67008099,8.432834
256,13,0.5,32,0.6,10.45702087,10.231372
257,22,0.5,32,0.6,10.46007432,10.238511
258,31,0.5,32,0.6,10.45916634,10.192054
259,40,0.5,32,0.6,10.45914706,10.2286005
260,4,0.6,32,0.6,8.625496289,8.456111
261,13,0.6,32,0.6,11.06165699,10.843194
262,22,0.6,32,0.6,11.06813083,10.882645
263,31,0.6,32,0.6,11.06749756,10.834238
264,40,0.6,32,0.6,11.06669634,10.864653
265,4,0.7,32,0.6,8.422854096,8.20066
266,13,0.7,32,0.6,11.20401224,10.9186535
267,22,0.7,32,0.6,11.20547099,11.000943
268,31,0.7,32,0.6,11.20450146,10.967766
269,40,0.7,32,0.6,11.20646871,11.002197
270,4,0.2,8,0.8,0.005479905,0.20361103
271,13,0.2,8,0.8,0.005481495,0.19941813
272,22,0.2,8,0.8,0.005482583,0.20127818
273,31,0.2,8,0.8,0.005482658,0.20164031
274,40,0.2,8,0.8,0.00548253,0.20001598
275,4,0.3,8,0.8,0.619767129,0.555668
276,13,0.3,8,0.8,0.621597065,0.55548894
277,22,0.3,8,0.8,0.621555897,0.56887084
278,31,0.3,8,0.8,0.621575871,0.57792944
279,40,0.3,8,0.8,0.62155804,0.581007
280,4,0.4,8,0.8,0.884133063,1.0755059
281,13,0.4,8,0.8,0.890478593,1.0876435
282,22,0.4,8,0.8,0.89063589,1.1110191
283,31,0.4,8,0.8,0.890591996,1.1279263
284,40,0.4,8,0.8,0.89059178,1.13623
285,4,0.5,8,0.8,1.572416526,1.6034043
286,13,0.5,8,0.8,1.591682953,1.6281433
287,22,0.5,8,0.8,1.591873863,1.648334
288,31,0.5,8,0.8,1.592093868,1.6614767
